iter	Passed	Remaining
898	64124	7204
899	64198	7133
900	64286	7063
901	64365	6993
902	64446	6922
903	64527	6852
904	64602	6781
905	64679	6710
906	64759	6640
907	64844	6570
908	64923	6499
909	65001	6428
910	65077	6357
911	65162	6287
912	65245	6217
913	65325	6146
914	65400	6075
915	65472	6004
916	65556	5933
917	65648	5864
918	65787	5798
919	65870	5727
920	65950	5657
921	66029	5585
922	66107	5514
923	66183	5443
924	66265	5372
925	66347	5302
926	66426	5230
927	66500	5159
928	66577	5088
929	66657	5017
930	66735	4946
931	66815	4874
932	66898	4804
933	66967	4732
934	67051	4661
935	67131	4590
936	67212	4519
937	67289	4447
938	67374	4376
939	67458	4305
940	67539	4234
941	67623	4163
942	67704	4092
943	67785	4021
944	67865	3949
945	67948	3878
946	68024	3807
947	68105	3735
948	68186	3664
949	68270	3593
950	68354	3521
951	68434	3450
952	68518	3379
953	68601	3307
954	68682	3236
955	68764	3164
956	68850	3093
957	68934	3022
958	69013	2950
959	69093	2878
960	69174	2807
961	69250	2735
962	69327	2663
963	69407	2591
964	69487	2520
965	69568	2448
966	69638	2376
967	69719	2304
968	69794	2232
969	69874	2161
970	69947	2089
971	70031	2017
972	70111	1945
973	70188	1873
974	70270	1801
975	70355	1730
976	70439	1658
977	70516	1586
978	70593	1514
979	70675	1442
980	70759	1370
981	70845	1298
982	70927	1226
983	71021	1154
984	71106	1082
985	71187	1010
986	71266	938
987	71344	866
988	71423	794
989	71495	722
990	71579	650
991	71661	577
992	71760	505
993	71839	433
994	71920	361
995	71999	289
996	72085	216
997	72169	144
998	72244	72
999	72329	0
